"year","total.comp","gdp","perc.gdp"
"1970",3174,1075900,0.295008829816897
"1971",3716,1167800,0.318205172118513
"1972",4240,1282400,0.330630068621335
"1973",4196,1428500,0.293734686734337
"1974",4198,1548800,0.271048553719008
"1975",4900,1688900,0.290129670199538
"1976",5674,1877600,0.302194290583724
"1977",6386,2086000,0.306136145733461
"1978",7464,2356600,0.316727488754986
"1979",8691,2632100,0.330192621860872
"1980",11291,2862500,0.394445414847162
"1981",13635,3211000,0.424634070383058
"1982",16271,3345000,0.486427503736921
"1983",21113,3638100,0.580330392237706
"1984",23343,4040700,0.577696933699607
"1985",27057,4346700,0.622472220305059
"1986",34036,4590200,0.741492745414143
"1987",41078,4870200,0.843456120898526
"1988",45038,5252600,0.857442028709591
"1989",43669,5657700,0.771850752072397
"1990",46407,5979600,0.77608870158539
"1991",49744,6174000,0.805701328150308
"1992",63677,6539300,0.973758659183705
"1993",68732,6878700,0.999200430313867
"1994",67403,7308800,0.922217053415061
"1995",74273,7664100,0.969102699599431
"1996",85663,8100200,1.05754178909163
"1997",98457,8608500,1.14371841784283
"1998",105083,9089200,1.15613035250627
"1999",117724,9660600,1.21859925884521
"2000",143930,10284800,1.3994438394524
"2001",153121,10621800,1.44157299139506
"2002",136965,10977500,1.2476884536552
"2003",131071,11510700,1.13868835083878
"2004",151488,12274900,1.23412818027031
"2005",167303,13093700,1.27773662142863
"2006",190812,13855900,1.37711732908003
"2007",219968,14477600,1.51936785102503
"2008",220503,14718600,1.49812482165423
"2009",178138,14418700,1.2354650557956
"2010",195528,14964400,1.30662104728556
"2011",203184,15517900,1.30935242526373
"2012",203778,16155300,1.26136933390281
"2013",202532,16663200,1.215444812521
"2014",225508,17348100,1.29990027726379
